Date,index,FX,GDP,CPI,RFR,UR,BOP,GFCF
21/08/06,20861.56055,10.7776,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
22/08/06,20986.89063,10.8305,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
23/08/06,20742.43945,10.9133,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
24/08/06,20751.44922,10.914,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
25/08/06,20994.93945,10.945,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
28/08/06,21228.86914,10.8675,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
29/08/06,21282.08008,10.848,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
30/08/06,21331.08984,10.8738,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
31/08/06,21049.34961,10.9055,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
01/09/06,21192.25977,10.8,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
04/09/06,21385.63086,10.8398,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
05/09/06,21256.10938,10.841,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
06/09/06,20965.24023,10.9705,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
07/09/06,20833.23047,10.993,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
08/09/06,20795.82031,10.975,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
11/09/06,20612.89063,11.0635,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
12/09/06,21102.76953,10.9935,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
13/09/06,21320.21094,10.9725,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
14/09/06,21334.01953,10.962,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
15/09/06,21548.86914,10.897,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
18/09/06,21666.07031,10.8968,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
19/09/06,21659.01953,10.945,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
20/09/06,21841.44922,10.9485,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
21/09/06,21498.08984,11.056,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
22/09/06,21390.42969,11.021,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
25/09/06,21674.74023,11.0508,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
26/09/06,21792.30078,10.996,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
27/09/06,21748.57031,11.018,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
28/09/06,21854.48047,10.9915,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
29/09/06,21937.10938,10.932,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
02/10/06,21619.96094,10.922,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
03/10/06,21631,11.033,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
04/10/06,22105.9707,11.006,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
05/10/06,22326.85938,11.003,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
06/10/06,22350.05078,11.01,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
